dataset,question_id,record_index,source_file,source_locator,source_category,single_generator,best_mas_generator,p_single,p_best_mas,delta,bucket,bucket_cn,mean5_complete,candidate_scope,question_preview
gpqa,gpqa_diamond_163,0,data/gpqa/GPQA-train-mean5.json,data/gpqa/GPQA-train-mean5.json#record_index=0,train,finalizer_only,parallel_solvers_verify,0.0,0.0,0.0,other,其他,True,16 candidate graphs all have Mean-5 labels,"Consider a rhombohedral crystal, with the interatomic distance of 10 Angstrom and the angles $\quad\alpha=\beta=\gamma=30^{0}$. What is the interplanar distance of the (111) plane of the crystal? A. 8"
gpqa,gpqa_diamond_028,1,data/gpqa/GPQA-train-mean5.json,data/gpqa/GPQA-train-mean5.json#record_index=1,train,finalizer_only,parallel_solvers_verify,0.6,0.6,0.0,both_high,双高,True,16 candidate graphs all have Mean-5 labels,"Five binary compounds of fluorine with element Y are known. The bright-red substance A1 decomposes at 293 K into A2 (ɷF=31,96%) and fluorine. A1 oxidizes xenon under normal conditions. A3 can also int"
gpqa,gpqa_diamond_006,2,data/gpqa/GPQA-train-mean5.json,data/gpqa/GPQA-train-mean5.json#record_index=2,train,finalizer_only,parallel_solvers_verify,0.6,0.4,-0.2,other,其他,True,16 candidate graphs all have Mean-5 labels,Which of the following stars can be detected with both the ESPRESSO spectrograph at the Paranal Observatory and the HIRES spectrograph at the Keck Observatory? Please refer to the links below for more
gpqa,gpqa_diamond_189,3,data/gpqa/GPQA-train-mean5.json,data/gpqa/GPQA-train-mean5.json#record_index=3,train,finalizer_only,parallel_solvers_verify,0.0,0.0,0.0,other,其他,True,16 candidate graphs all have Mean-5 labels,"The study of quantum mechanics deals with a lot of matrices. Consider the following matrices. W = (0, 0, 1; 0, 1, 0; 1, 0, 0), X = (i, -1, 2i; 1, 0, 1; 2i, -1, -i), Y = (0.5, 0.1, 0.2; 0.1, 0.25, 0.1;"
gpqa,gpqa_diamond_070,4,data/gpqa/GPQA-train-mean5.json,data/gpqa/GPQA-train-mean5.json#record_index=4,train,finalizer_only,parallel_solvers_verify,0.0,0.2,0.2,both_low_nonzero,双低（非全零）,True,16 candidate graphs all have Mean-5 labels,"Imagine a situation where a novel natural molecule, Xantheraquin, is discovered and is being investigated for in silico testing against a bacterial pathogen that is multidrug resistant. Preliminary st"
gpqa,gpqa_diamond_062,5,data/gpqa/GPQA-train-mean5.json,data/gpqa/GPQA-train-mean5.json#record_index=5,train,finalizer_only,parallel_solvers_verify,0.0,0.0,0.0,other,其他,True,16 candidate graphs all have Mean-5 labels,"A eukaryotic cell evolved a mechanism to turn macromolecular building blocks into energy. The process occurs in mitochondria, which are cellular energy factories. In the series of redox reactions, the"
gpqa,gpqa_diamond_057,6,data/gpqa/GPQA-train-mean5.json,data/gpqa/GPQA-train-mean5.json#record_index=6,train,finalizer_only,parallel_solvers_verify,1.0,1.0,0.0,both_high,双高,True,16 candidate graphs all have Mean-5 labels,Which of the following (effective) particles is not associated with a spontaneously-broken symmetry? A. Magnon B. Phonon C. Pion D. Skyrmion
gpqa,gpqa_diamond_035,7,data/gpqa/GPQA-train-mean5.json,data/gpqa/GPQA-train-mean5.json#record_index=7,train,finalizer_only,parallel_solvers_verify,1.0,1.0,0.0,both_high,双高,True,16 candidate graphs all have Mean-5 labels,If a charge q is placed d distance away from the center of a grounded conducting sphere of radius R. Calculate the net potential energy of this system. A. U=- kq^2 d/(d^2 -R^2) B. U=- (1/2) kq^2 d/(d^
gpqa,gpqa_diamond_188,8,data/gpqa/GPQA-train-mean5.json,data/gpqa/GPQA-train-mean5.json#record_index=8,train,finalizer_only,parallel_solvers_verify,0.4,1.0,0.6,mas_help,MAS-help,True,16 candidate graphs all have Mean-5 labels,"The state of a system at time t is given by the column matrix having elements (-1, 2, 1), and the operators of two observables P and Q of the system are represented by two square matrices. The matrix "
gpqa,gpqa_diamond_026,9,data/gpqa/GPQA-train-mean5.json,data/gpqa/GPQA-train-mean5.json#record_index=9,train,finalizer_only,parallel_solvers_verify,1.0,0.8,-0.2,both_high,双高,True,16 candidate graphs all have Mean-5 labels,"Calculate the enthalpy of neutralization when 500 mL 0.2 M HCl, 300 mL 0.3 M H2SO4 and 200 mL 0.5 M Ba(OH)2 are mixed. A. -2.72 kcal B. -11.42 kcal C. -3.80 kcal D. -16.0 kJ"
