dataset,question_id,record_index,source_file,source_locator,source_category,single_generator,best_mas_generator,p_single,p_best_mas,delta,bucket,bucket_cn,mean5_complete,candidate_scope,question_preview
mmlu_pro,mmlu_pro_4047,0,data/mmlu_pro/train70_single_best_mean5_clean.json,data/mmlu_pro/train70_single_best_mean5_clean.json#record_index=0,chemistry,finalizer_only,star,1.0,1.0,0.0,both_high,双高,True,only SingleAgent and fixed BestMAS have Mean-5 labels,"For a cell reaction of the type T + R^+2 \leftrightarrows R + T^+2 , calculate the value that E° must have so that the equilibrium concentration of T^+2 is a thousand times the R^+2 concentration. Opt"
mmlu_pro,mmlu_pro_7178,1,data/mmlu_pro/train70_single_best_mean5_clean.json,data/mmlu_pro/train70_single_best_mean5_clean.json#record_index=1,economics,finalizer_only,star,0.4,0.2,-0.2,both_low_nonzero,双低（非全零）,True,only SingleAgent and fixed BestMAS have Mean-5 labels,Which of the following was not a landmark antitrust act? Options: (A) The Antitrust Improvement Act (B) The Federal Trade Commission Act (C) The Clayton Act (D) The Sherman Act (E) The Fair Trade Act 
mmlu_pro,mmlu_pro_6796,2,data/mmlu_pro/train70_single_best_mean5_clean.json,data/mmlu_pro/train70_single_best_mean5_clean.json#record_index=2,health,finalizer_only,star,0.6,1.0,0.4,both_high,双高,True,only SingleAgent and fixed BestMAS have Mean-5 labels,"A 17-year-old girl is brought to the emergency department 15 minutes after being stung by a bee. She has mild lightheadedness but no difficulty swallowing. Her temperature is 37.1°C (98.8°F), pulse is"
mmlu_pro,mmlu_pro_5908,3,data/mmlu_pro/train70_single_best_mean5_clean.json,data/mmlu_pro/train70_single_best_mean5_clean.json#record_index=3,other,finalizer_only,star,1.0,1.0,0.0,both_high,双高,True,only SingleAgent and fixed BestMAS have Mean-5 labels,Spark Co. buys cordless phones for $125 each and sells them for $200 each. Spark pays a sales commission of $25 per phone sold and monthly fixed costs are $3000. Assuming Spark desired a profit of 10%
mmlu_pro,mmlu_pro_6346,4,data/mmlu_pro/train70_single_best_mean5_clean.json,data/mmlu_pro/train70_single_best_mean5_clean.json#record_index=4,health,finalizer_only,star,0.2,0.4,0.2,both_low_nonzero,双低（非全零）,True,only SingleAgent and fixed BestMAS have Mean-5 labels,The maternal serum level of alpha-fetoprotein (AFP) is lower than average in which situation? Options: (A) Anencephaly (B) Normal pregnancy (C) Neural tube defects (D) Exomphalos (E) Cardiac defects (
mmlu_pro,mmlu_pro_1398,5,data/mmlu_pro/train70_single_best_mean5_clean.json,data/mmlu_pro/train70_single_best_mean5_clean.json#record_index=5,law,finalizer_only,star,0.0,0.0,0.0,other,其他,True,only SingleAgent and fixed BestMAS have Mean-5 labels,"A plaintiff sued a trucking company for injuries allegedly suffered when a speeding truck jackknifed and struck her car. Which of the following pieces of evidence, if offered by the plaintiff, is most"
mmlu_pro,mmlu_pro_1607,6,data/mmlu_pro/train70_single_best_mean5_clean.json,data/mmlu_pro/train70_single_best_mean5_clean.json#record_index=6,law,finalizer_only,star,0.0,0.0,0.0,other,其他,True,only SingleAgent and fixed BestMAS have Mean-5 labels,A state election code provides that any political organization whose candidate received 20% or more of the vote at the most recent gubernatorial or presidential election is a political party; other po
mmlu_pro,mmlu_pro_6745,7,data/mmlu_pro/train70_single_best_mean5_clean.json,data/mmlu_pro/train70_single_best_mean5_clean.json#record_index=7,health,finalizer_only,star,1.0,1.0,0.0,both_high,双高,True,only SingleAgent and fixed BestMAS have Mean-5 labels,The anatomic location of the spinal canal is Options: (A) caudal (B) dorsal (C) frontal (D) ventral (E) lateral (F) superior (G) cranial (H) medial (I) transverse
mmlu_pro,mmlu_pro_5312,8,data/mmlu_pro/train70_single_best_mean5_clean.json,data/mmlu_pro/train70_single_best_mean5_clean.json#record_index=8,other,finalizer_only,star,0.8,0.6,-0.2,both_high,双高,True,only SingleAgent and fixed BestMAS have Mean-5 labels,"As of 2013, which of the following countries had the highest per capita rate of homelessness? Options: (A) South Africa (B) Canada (C) Russia (D) Sweden (E) Australia (F) US (G) Chile (H) Ireland (I) "
mmlu_pro,mmlu_pro_7807,9,data/mmlu_pro/train70_single_best_mean5_clean.json,data/mmlu_pro/train70_single_best_mean5_clean.json#record_index=9,math,finalizer_only,star,1.0,1.0,0.0,both_high,双高,True,only SingleAgent and fixed BestMAS have Mean-5 labels,Find the quotient of −40 ÷ (−8). Options: (A) -1 (B) 8 (C) -8 (D) −5 (E) 40 (F) -40 (G) 0 (H) 5 (I) −1 over 5 (J) 1 over 5
